tconst	averageRating	numVotes
tt0001925	5.0	40
tt0001926	4.6	14
tt0001927	4.3	12
tt0001928	4.5	51
tt0001941	5.1	80
tt0001949	5.6	27
tt0001956	6.1	16
tt0001957	4.9	51
tt0001963	5.5	143
tt0001964	6.0	79
tt0001967	5.9	11
tt0001969	4.7	14
tt0001973	6.1	272
tt0001978	5.8	23
tt0001987	6.1	24
tt0001989	4.3	15
tt0001993	4.0	21
tt0001998	4.4	33
tt0002020	4.7	127
tt0002026	4.0	13
tt0002029	6.2	53
tt0002031	4.8	20
tt0002033	5.5	37
tt0002034	5.3	46
tt0002041	3.9	60
tt0002045	4.2	83
tt0002054	5.8	202
tt0002056	6.7	157
tt0002064	4.8	78
tt0002065	6.2	64
tt0002066	3.8	96
tt0002068	5.1	53
tt0002070	5.2	40
tt0002071	4.0	15
tt0002078	5.0	65
tt0002082	6.1	389
tt0002083	6.1	257
tt0002093	4.6	39
tt0002095	4.9	38
tt0002096	3.8	15
tt0002097	4.2	37
